rank,content_id,client_id,model_score,archetype,reason_code,action,impressions_90d,sessions_90d,content_age_days,ctr,avg_position,word_count,engagement_rate
1,content_569e0d485db8,client_349c41201b,0.8120224776548466,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,1816,10,154,0.06,28.1,4401.0,0.0
2,content_8d387d58f71f,client_349c41201b,0.8103628507642884,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,1032,16,148,0.0,5.7,6583.0,0.0
3,content_a8cd736c9c7b,client_349c41201b,0.8091998958480905,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,2877,4,144,0.03,23.2,4448.0,0.0
4,content_c14a055e6a26,client_349c41201b,0.8087706520786346,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,8605,30,140,0.07,34.0,4148.0,0.0
5,content_be1c109fcdbc,client_349c41201b,0.8075840759983295,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,10931,19,144,0.05,34.0,5359.0,0.0
6,content_cdc1d5c2b05a,client_19581e27de,0.8063940444146239,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,3989,40,153,0.0,17.0,2910.0,2.5
7,content_0bc3bda5785c,client_349c41201b,0.8059159872082421,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,2929,5,167,0.07,16.9,3420.0,0.0
8,content_a451a30f3920,client_19581e27de,0.8030246772984988,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,11926,13,139,0.04,4.4,4028.0,7.69
9,content_39dbf0817270,client_19581e27de,0.8027350255864916,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,3755,2,98,0.05,1.3,2533.0,0.0
10,content_7ee674751acf,client_349c41201b,0.8027069568409538,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,526,13,168,0.0,21.3,4053.0,0.0
11,content_af812e811d6f,client_349c41201b,0.8017027055427509,HIGH_PRIORITY_OPPORTUNITY,HIGH_MODEL_RANK,REVIEW_FOR_REFRESH,284,4,165,0.0,21.3,3744.0,0.0
